Name,Chromosome number,Ploidy level,1C value
Colymbada orientalis,20,2,1.65
Colymbada orientalis,40,4,3.46
Colymbada salonitana,20,2,1.84
Colymbada scabiosa,20,2,1.77
Colymbada stereophylla,20,2,1.68
Commelina africana,30,2,3.7
Commelina africana,60,4,5.73
Commelina africana,90,6,9.18
Commelina albescens,30,2,2.73
Commelina benghalensis,46,,7.48
Commelina chamissonis,60,4,7.83
Commelina coelestis,90,6,9.75
Commelina dianthifolia,90,6,8.43
Commelina diffusa,30,2,3.35
Commelina diffusa,90,6,8.45
Commelina elevata,120,8,11.68
Commelina erecta,60,4,2.58
Commelina fasciculata,90,6,10.25
Commelina indehiscens,120,8,10.35
Commelina longicaulis,86,6,8.65
Commelina obliqua,56,,4.05
Commelina obliqua,90,6,8.23
Commiphora mossambicensis,26,2,0.63
Conocephalum conicum,,,0.69
Conostylis candicans,16,,1.31
Conringia planisiliqua,16,2,0.23
Consolea corallicola,66,6,2.58
Consolea falcata,88,8,3.84
Consolea macracantha,66,6,2.44
Consolea millspaughii,,8,3.84
Consolea millspaughii,66,6,2.46
Consolea moniliformis,66,6,2.54
Consolea nashii,66,6,2.55
Consolea picardea,66,6,2.46
Consolea rubescens,88,8,3.85
Consolea spinosissima,66,6,2.52
Convallaria majalis,38,2,24.65
Convolvulus arvensis,48,,1.78
Convolvulus canariensis,,4,1.03
Convolvulus floridus,30,6,1.06
Convolvulus perraudieri,30,6,1.07
Convolvulus scoparius,30,6,1.07
Coprosma repens,44,4,1.38
Coprosma robusta,44,4,1.28
Corchorus capsularis,14,2,1.15
Corchorus olitorius,14,2,1.4
Coreopsis bicolor,24,2,1.55
Coreopsis grandiflora,26,2,2.5
Coriandrum sativum,,,2.54
Coriaria myrtifolia,,8,0.33
Cornus mas,,,3.4
Cornus sanguinea,22,2,0.93
Correa virens,32,,1.33
Cortaderia argentea,,,3.75
Cortaderia fulvida,90,10,4.18
Cortaderia richardii,90,10,3.93
Cortaderia splendens,90,10,3.86
Cortaderia toetoe,90,10,3.97
Cortaderia turbaria,90,10,4.79
Corylus avellana,22,2,0.48
Corynephorus canescens,14,2,1.13
Corynocarpus laevigatus,44,,0.77
Cosmos atrosanguineus,48,,7.34
Cosmos bipinnatus,24,2,1.55
Cosmos sulphureus,24,2,3
Cotinus coggygria,,,9.35
Cotoneaster melanocarpa,34,4,1.13
Cotula coronopifolia,20,2,2.03
Crambe arborea,30,6,0.93
Crambe cordifolia,,8,4.73
Crambe laevigata,,6,0.95
Crambe maritima,60,4,2.42
Crambe scaberrima,,6,0.93
Crambe strigosa,30,6,0.99
Crataegus aemula,,3,1.28
Crataegus aestivalis,,,0.63
Crataegus agrestina,,4,1.63
Crataegus aprica,,3,1.01
Crataegus arnoldiana,,4,1.44
Crataegus ashei,,4,1.45
Crataegus brachyacantha,,,0.94
Crataegus calpodendron,,2,0.79
Crataegus castlegarensis,,4,1.36
Crataegus chlorosarca,,2,0.82
Crataegus chrysocarpa,,3,1.27
Crataegus collina,,,1
Crataegus compacta,,3,1.18
Crataegus crus-galli,34,4,1.35
Crataegus dahurica,,2,0.83
Crataegus dodgei,,4,1.59
Crataegus douglasii,,,1.33
Crataegus enderbyensis,,4,1.56
Crataegus finitima,,3,1.15
Crataegus flavida,,,1.77
Crataegus greggiana,,4,1.37
Crataegus harbisonii,,4,1.59
Crataegus heldreichii,,2,0.8
Crataegus hupehensis,,,0.9
Crataegus irrasa,,4,1.53
Crataegus laevigata,,2,0.7
Crataegus laevigata,,4,1.56
Crataegus lepida,,,1.3
Crataegus macracantha,,4,1.49
Crataegus macrosperma,,4,1.56
Crataegus marshallii,,,0.88
Crataegus mollis,,2,0.73
Crataegus monogyna,,2,0.68
Crataegus munda,,3,1.25
Crataegus nigra,,2,0.84
Crataegus nitida,,3,1.02
Crataegus okennonii,,4,1.67
Crataegus opaca,,,0.63
Crataegus phaenopyrum,,3,1.18
Crataegus phippsii,,4,1.59
Crataegus pinnatifida,,2,0.78
Crataegus pinnatifida,,4,1.6
Crataegus placiva,,4,1.48
Crataegus pruinosa,,3,1.19
Crataegus punctata,,2,0.67
Crataegus rivularis,,4,1.36
Crataegus rufula,,3,1.02
Crataegus saligna,,2,0.84
Crataegus sargentii,,,0.99
Crataegus shuswapensis,,2,0.73
Crataegus songarica,,4,1.48
Crataegus spathulata,,2,0.68
Crataegus submollis,,4,1.67
Crataegus succulenta,,3,1.21
Crataegus suksdorfii,,2,0.71
Crataegus suksdorfii,,4,1.48
Crataegus triflora,,2,0.68
Crataegus triflora,,4,1.34
Crataegus uniflora,,4,1.37
Crataegus viburnifolia,,,0.97
Crataegus viridis,,2,0.85
Crataegus wattiana,,3,1.18
Crataegus wilsonii,,2,0.81
Craterostigma plantagineum,,,1.05
Cratoneuron commutatum,,,0.31
Cratoneuron filicinum,,,0.29
Crepis alpina,10,2,3
Crepis aurea,10,2,2.53
Crepis biennis,40,8,8.45
Crepis bithynica,10,2,3.22
Crepis blattarioides,8,2,4.63
Crepis bulbosa,,,0.88
Crepis canariensis,8,2,2.68
Crepis capillaris,6,2,2.1
Crepis conyzaefolia,8,2,5.51
Crepis conyzifolia,8,2,4.35
Crepis dinarica,,2,5.9
Crepis dioscoridis,8,2,6.13
Crepis foetida,10,2,1.95
Crepis froelichiana,,2,5.9
Crepis fuliginosa,6,2,0.9
Crepis grandiflora,8,2,6.5
Crepis incarnata,,2,6
Crepis laciniata,,,3.55
Crepis lapsanoides,12,2,5.58
Crepis neglecta,8,2,2.9
Crepis palaestina,8,2,6.28
Crepis paludosa,12,2,4.16
Crepis pannonica,8,2,2.05
Crepis pontana,10,2,6.88
Crepis praemorsa,,2,5.25
Crepis pulchra,8,2,5.4
Crepis rubra,10,2,2.85
Crepis sancta,10,2,2.09
Crepis schachtii,10,2,2.82
Crepis setosa,8,2,2.33
Crepis sibirica,10,2,7.25
Crepis taraxacifolia,8,2,2.93
Crepis tectorum,8,2,3.38
Crepis viscidula,12,2,4.37
Crepis zacintha,6,2,1.08
Crescentia cujete,36,2,1.6
Crinodendron patagua,16,,0.3
Crinum asiaticum,,,25.25
Crinum bulbispermum,,,20.1
Crinum moorei,,,20.75
Crinum natans,,,20.95
Crithmum maritimum,20,2,2.19
Crocosmia aurea,,,1.01
Crocosmia fucata,,,0.96
Crocosmia masonorum,,,0.93
Crocosmia paniculata,,,1
Crocosmia pottsii,,,0.9
Crocosmia x crocosmiiflora,,,1.12
Crocosmia x latifolia,,,1.15
Crocosmia x paniculata,,,0.89
Crocus angustifolius x flavus,,,6.55
Crocus biflorus,18,2,4.34
Crocus cartwrightianus,16,2,3.97
Crocus chrysanthus,,,3.9
Crocus etruscus,8,2,3.63
Crocus sativus,24,3,5.9
Crocus thomasii,16,2,4.35
Crocus vernus,8,2,11.55
Crossopteryx febrifuga,22,2,0.8
Crotalaria brownei,16,2,1.05
Crotalaria grahamiana,16,2,0.95
Crotalaria incana,14,2,1.68
Crotalaria intermedia,16,2,1
Crotalaria juncea,16,2,1.23
Crotalaria lanceolata,16,2,1.13
Crotalaria mucronata,16,2,1.28
Crotalaria pallida,16,2,1.25
Crotalaria retusa,16,2,0.98
Crotalaria saltiana,16,2,1.1
Crotalaria sericea,16,2,0.98
Crotalaria striata,16,2,1.2
Crotalaria verrucosa,16,2,1.25
Crucihimalaya himalaica,16,,0.32
Crucihimalaya mollissima,32,4,0.54
Crucihimalaya wallichii,16,2,0.3
Cryptanthus acaulis,34,2,0.69
Cryptanthus bahianus,34,2,0.38
Cryptanthus beuckeri,,2,0.73
Cryptanthus schwackeanus,34,2,0.36
Cryptocoryne crispatula,,,0.89
Cryptocoryne lingua,36,,0.95
Cryptocoryne nevilli,,,0.95
Cryptomeria fortunei,22,2,11.44
Cryptomeria japonica,22,2,11.05
Cryptotaenia elegans,16,2,0.47
Ctenidium malacodes,,,0.4
Ctenidium molluscum,,,0.4
Cucumella cinerea,,,0.25
Cucumis africanus,24,2,0.9
Cucumis anguira,24,2,0.8
Cucumis dinteri,24,2,1.08
Cucumis dipsaceus,24,2,1.23
Cucumis ficifolius,24,2,0.68
Cucumis figarei,48,4,1.95
Cucumis heptadactylus,48,4,1.13
Cucumis humifructus,24,2,1.23
Cucumis meeusi,48,4,1.6
Cucumis melo,,,0.95
Cucumis metuliferus,24,2,1.2
Cucumis prophetarum,24,2,0.83
Cucumis sagitattus,24,2,0.78
Cucumis sativus,14,2,0.9
Cucumis trigonus,14,2,0.8
Cucumis zeyheri,24,2,0.85
Cucumis zeyheri,48,4,1.43
Cucurbita argyrosperma,40,2,0.37
Cucurbita cylindrata,40,2,0.42
Cucurbita ecuadorensis,40,2,0.36
Cucurbita ficifolia,40,2,0.47
Cucurbita foetidissima,40,2,0.34
Cucurbita lundelliana,40,2,0.36
Cucurbita maxima,40,,0.46
Cucurbita moschata,40,,0.43
Cucurbita okeechobeensis,40,2,0.37
Cucurbita pedatifolia,40,2,0.39
Cucurbita pepo,40,,0.55
Cuminum cyminum,14,2,3.5
Cunninghamia lanceolata,22,2,14.17
Cupressus arizonica,22,2,11.8
Cupressus funebris,22,2,10.76
Cupressus glabra,22,2,11.5
Cupressus guadalupensis,22,2,11.85
Cupressus macrocarpa,22,2,14.2
Cupressus sempervirens,22,2,11.35
Cupressus sempervirens,22,2,11.55
Cupressus torulosa,22,2,12.31
Curcuma aeruginosa,63,9,1.43
Curcuma amada,42,6,0.93
Curcuma angustifolia,42,6,1.08
Curcuma aromatica,42,6,0.93
Curcuma aromatica,63,9,1.42
Curcuma aurantiaca,42,6,1.1
Curcuma caesia,,9,1.41
Curcuma cannanorensis,42,6,1.17
Curcuma codonantha,63,9,1.42
Curcuma coriacea,42,6,1.3
Curcuma decipiens,42,6,1.18
Curcuma elata,63,9,1.43
Curcuma ferruginea,63,9,1.4
Curcuma inodora,42,6,1.15
Curcuma karnatakensis,42,6,1.17
Curcuma kudagensis,42,6,1.15
Curcuma latifolia,63,9,1.4
Curcuma leucorhiza,63,9,1.35
Curcuma longa,63,9,1.36
Curcuma mangga,42,6,0.92
Curcuma montana,42,6,0.9
Curcuma mutabilis,42,6,1.25
Curcuma neilgherrensis,42,6,1.15
Curcuma oligantha,77,11,2.38
Curcuma prakasha,42,6,0.94
Curcuma pseudomontana,42,6,1.13
Curcuma raktakanta,105,15,2.29
Curcuma reclinata,42,6,1.15
Curcuma roscoeana,42,6,0.98
Curcuma rubescens,,6,0.94
Curcuma rubrobracteata,42,6,0.92
Curcuma vamana,22,2,0.83
Curcuma zanthorrhiza,63,,1.3
Cuscuta campestris,56,,5.42
Cuscuta cephalanthi,60,,3.93
Cuscuta chilensis,,,2.87
Cuscuta compacta,30,,7.85
Cuscuta epilinum,42,,3.87
Cuscuta europaea,14,,1.08
Cuscuta exaltata,,,20.93
Cuscuta gronovii,,,2.19
Cuscuta indecora,30,,32.77
Cuscuta lupuliformis,28,,22.47
Cuscuta obtusiflora,,,0.79
Cuscuta pentagona,,,0.58
Cuscuta polygonorum,,,0.81
Cuscuta rostrata,,,4.06
Cuscuta veatchii,,,2.92
Cyanotis somaliensis,,,5.2
Cyanus achtarovii,22,2,1.56
Cyanus napuliferus,20,2,1.24
Cyanus pichleri,44,4,1.97
Cyanus segetum,24,2,0.74
Cyanus thirkei,,2,1.09
Cyanus triumfettii,22,2,1.4
Cyanus tuberosus,20,2,1.26
Cycas circinalis,22,2,14.75
Cycas revoluta,22,2,12.75
Cyclamen hederifolium,,,2.98
Cyclamen persicum,48,2,1.59
Cyclamen trochopteranthum,30,,10.59
Cyclanthus bipartitus,,,0.95
Cydonia oblonga,34,2,0.73
Cymbidium ceres,40,4,4.05
Cymbidium pendulum,40,2,4.65
Cymbidium pumilum,40,,4.35
Cymbidium sinense,40,,3.15
Cymbopetalum bailonii,18,2,0.8
Cymbopetalum brasilience,27,,2.48
Cymodocea nodosa,28,4,0.54
Cynara scolymus,,2,1.1
Cynodon dactylon,,,0.8
Cynodon dactylon,54,6,1.47
Cynodon transvaalensis,18,2,0.52
Cynosurus cristatus,14,2,3.05
Cypella aquatilis,14,2,2.4
Cyperus esculentus,,,0.6
Cyperus haspan,26,2,0.45
Cyperus iria,,,0.8
Cyperus rotundus,,,0.45
Cyperus textilis,30,,1.38
Cyphomandra betacea,24,2,7.75
Cyphomandra cajanumensis,24,2,7.95
Cyphomandra corymbiflora,24,2,6.75
Cyphomandra crassifolia,24,2,10.3
Cyphomandra diploconos,24,2,7.85
Cyphomandra diversifolia,24,2,8.35
Cyphomandra hartwegii,24,2,9.7
Cyphomandra luteoalba,24,2,7.6
Cyphomandra obliqua,24,2,8.4
Cyphomandra sibundoyensis,24,2,15.3
Cyphomandra uniloba,24,2,12.5
Cypripedium calceolus,,,32.35
Cypripedium californicum,,2,21.55
Cypripedium formosanum,20,2,28.5
Cypripedium henryi,,,38.83
Cypripedium japonicum,20,,32.03
Cypripedium macranthos,20,,37.4
Cypripedium molle,20,2,4.14
Cypripedium pubescens,20,2,32.5
Cyrtanthus elatus,,,14.75
Cyrtanthus montanus,,,13.85
Cyrtochiloides cardiochila,,,3.1
Cyrtochilum serratum,,,2.7
Cytisus commutatus,,,1.94
Cytisus nigricans,,,0.55
Cytisus purpureus,48,4,0.85
Cytisus scoparius,48,4,0.85
Cytisus striatus,,,0.97
Dacrycarpus dacrydioides,20,2,18.1
Dacrydium cupressinum,20,2,18
Dactylis glomerata,14,2,3.3
Dactylis glomerata,28,4,4.4
Dactylis glomerata,42,6,4.4
Dactylis polygama,14,2,2.26
Dactylis smithii,14,2,2.18
Dactyloctenium aegyptium,,,1.88
Dactylorhiza fuchsii,40,2,2.89
Dactylorhiza incarnata,40,2,3.55
Dactylorhiza lapponica,80,4,6.69
Dactylorhiza maculata,80,4,5.66
Daemonorops angustifolius,,,1.83
Daemonorops verticillaris,26,2,2.78
Dahlia apiculata,32,4,2.07
Dahlia australis,32,4,1.99
Dahlia coccinea,32,4,2.17
Dahlia coccinea,64,8,4.04
Dahlia dissecta,34,4,1.66
Dahlia imperialis,32,4,2.4
Dahlia merckii,36,4,2.01
Dahlia rudis,32,4,1.75
Dahlia scapigeroides,34,4,2.1
Dahlia sorensenii,64,8,4.4
Dahlia tenuicaulis,32,4,2.11
Dahlia variabilis,64,8,2.07
Dalbergia horrida,20,2,1.97
Dalbergia lanceolaria,20,2,1.46
Dalbergia latifolia,20,2,1.72
Dalbergia malabarica,20,2,1.89
Dalbergia melanoxylon,20,2,1.84
Dalbergia paniculata,20,2,1.58
Dalbergia rubiginosa,20,2,1.84
Dalbergia sissoides,20,2,1.8
Dalbergia sissoo,20,2,1.62
Dalbergia volubilis,20,2,1.94
Damasonium alisma,,,23.62
Danthonia decumbens,36,4,2.95
Daphniphyllum pentandrum,,,1.25
Dasylirion cedrosanum,,,5.81
Dasypogon hookeri,14,2,0.44
Dasypyrum hordeaceum,28,4,10.5
Datisca cannabina,22,,1.15
Datura discolor,24,2,2.28
Datura innoxia,24,2,2.28
Datura meteloides,24,2,2.15
Datura quercifolia,24,2,1.73
Datura stramonium,,,2.05
Daucus aureus,22,2,1.15
Daucus blanchei,20,2,4.68
Daucus carota,18,2,1
Daucus crinitus,22,2,3.88
Daucus littoralis,20,2,2.98
Daucus montanus,66,6,5.48
Daucus muricatus,22,2,2.53
Daucus subsessilis,22,2,1.9
Daucus syrticus,18,2,1.25
Decaisnea fargesii,40,2,2.03
Decaisnina brittenii,24,2,8.03
Decaisnina hollrungii,24,2,15.05
Decaisnina signata,24,2,8.65
Degenia velebitica,16,2,1.27
Delphinium ajacis,16,2,6.55
Delphinium consolida,16,2,4.28
Dendranthema arcticum,72,8,10.02
Dendranthema indica,36,4,6.07
Dendranthema maximowiczii,54,6,7.89
Dendranthema zawadskii,72,8,10.61
Dendrobium affine,38,2,0.95
Dendrobium antennatum,38,2,1.4
Dendrobium aphyllum,38,2,3.35
Dendrobium atroviolaceum,38,2,1.3
Dendrobium bellatulum,38,2,1.3
Dendrobium bicaudatum,38,2,1.2
Dendrobium bigibbum,38,2,0.9
Dendrobium bracteosum,38,2,1.75
Dendrobium bullenianum,38,2,1.8
Dendrobium canaliculatum,38,2,1.35
Dendrobium conanthum,38,2,1.15
Dendrobium cruentum,38,2,0.75
Dendrobium crumenatum,38,2,1.3
Dendrobium densiflorum,40,2,2.55
Dendrobium discolor,38,2,0.85
Dendrobium fimbriatum,,2,3.15
Dendrobium forbesii,38,2,0.95
Dendrobium formosum,40,2,0.85
Dendrobium gouldii,38,2,1.05
Dendrobium helix,38,2,1.15
Dendrobium hookeriana,40,2,5.85
Dendrobium lasianthera,38,2,1.05
Dendrobium lindleyi,38,2,1.2
Dendrobium macrophyllum,38,2,0.95
Dendrobium moschatum,38,2,4.65
Dendrobium parishii,38,2,1.2
Dendrobium phalaenopsis,38,2,1
Dendrobium polysema,38,2,1.5
Dendrobium pulchellum,38,2,1.6
Dendrobium rhodostictum,38,2,1.45
Dendrobium samoense,38,2,2.05
Dendrobium schulleri,38,2,1
Dendrobium signatum,38,2,1.45
Dendrobium smillieae,38,2,1.6
Dendrobium spectabile,38,2,2.1
Dendrobium stratiotes,38,2,1.7
Dendrobium streblocerus,38,2,1.85
Dendrobium strepsiceros,38,2,1.45
Dendrobium tangerinum,38,2,1.1
Dendrobium taurinum,38,2,0.95
Dendrobium violaceoflavens,38,2,1.35
Dendrophthoe falcata,18,2,6.2
Dendrophthoe glabrescens,18,2,2.75
Dendrophthoe homoplastica,18,2,4.63
Dendrophthoe odontocalyx,18,2,3.18
Dendrophthoe vitellina,18,2,4.78
Dendroseris litoralis,36,4,1.25
Dendroseris micrantha,36,4,1.25
Deschampsia antarctica,26,2,4.98
Deschampsia caespitosa,52,4,9
Deschampsia caespitosa,26,2,5.22
Deschampsia chapmanii,26,2,5.53
Deschampsia flexuosa,28,4,5.48
Deschampsia tenella,26,2,5.04
Descurainia bourgeauana,14,2,0.2
Descurainia gilva,14,2,0.22
Descurainia gonzalesii,14,2,0.23
Descurainia lemsii,14,2,0.23
Descurainia millefolia,14,2,0.22
Desideria linearis,14,2,1.38
Desmazeria rigidum,14,2,3.4
Desmazeria sicula,14,2,3.2
Desmoncus polyacanthos,30,2,3
Deuterocohnia longipetala,,,0.37
Deuterocohnia schreiteri,,,0.4
Deutzia prunifolia,52,4,1.87
Deyeuxia aucklandica,56,8,7.03
Deyeuxia aucklandica,42,6,5.55
Deyeuxia avenoides,70,10,6.77
Deyeuxia lacustris,28,4,8.07
Deyeuxia quadriseta,56,8,7.68
Deyeuxia quadriseta,56,8,6.6
Deyeuxia youngii,28,4,4.94
Dianthus caryophyllus,,,0.63
Dichelachne crinita,70,10,8.18
Dichelachne inaequiglumis,70,10,8.2
Dichelachne lautumia,70,10,8.84
Dichelachne micrantha,70,10,8.43
Dichelostemma ida-maia,,,18.15
Dicheranthus plocamoides,16,2,0.75
Dichorisandra thyrsiflora,,,17.03
Dicranella heteromalla,,,0.32
Dicranodontium denudatum,,,0.29
Dicranostigma franchetiana,12,2,0.8
Dicranum fulvum,,,0.56
Dicranum polysetum,,,0.7
Dicranum scoparium,,,0.73
Dictamnus albus,36,,3.45
Dictamnus albus,36,,3.45
Dieffenbachia picta,36,,12.33
Dietes grandiflora,20,2,5.85
Digitalis purpurea,56,2,1.23
Digitaria ascendens,,,1.5
Digitaria ciliaris,,,1.29
Digitaria coenicola,,,0.62
Digitaria exilis,36,4,0.98
Digitaria iburua,,,0.92
Digitaria lecardii,,,1.33
Digitaria longiflora,,,0.93
Digitaria sanguinalis,54,6,1.2
Digitaria setigera,,,2.28
Digitaria ternata,,,0.89
Dillenia indica,,,0.51
Dioscorea abyssinica,40,4,0.63
Dioscorea alata,40,4,0.58
Dioscorea alata,80,8,1.06
Dioscorea cayenensis-rotundata,40,4,0.63
Dioscorea cayenensis-rotundata,60,6,0.88
Dioscorea cayenensis-rotundata,80,8,1.3
Dioscorea elephantipes,,,6.75
Dioscorea mangenotiana,40,4,0.63
Dioscorea praehensilis,40,4,0.63
Dioscorea sylvatica,,,0.85
Dioscorea togoensis,40,4,0.48
Dioscorea villosa,,,2.4
Diospyros discolor,30,,1.2
Diospyros exculpata,,,2.88
Diospyros kaki,,,2.54
Diospyros malabarica,30,,1.47
Diospyros montana,30,,1.65
Diplatia furcata,18,2,16
Diplatia grandibracteata,18,2,15.68
Diplophyllum albicans,,,0.47
Diplotaxis catholica,18,2,0.6
Diplotaxis erucoides,14,2,0.51
Diplotaxis siifolia,20,,0.56
Disporum sessile,,,18.6
Dissotis canescens,,,0.19
Dodonaea triquetra,,,0.7
Dodonaea viscosa,,,0.63
Doritis pulcherrima,38,2,6.75
Doryanthes palmeri,48,,3.31
Dorycnium eriophtalmum,14,2,1.12
Draba altaica,18,,0.31
Draba doerfleri,16,,0.52
Draba fladnizensis,16,2,0.28
Draba glomerata,,,0.4
Draba lactea,32,4,0.58
Draba lactea,48,6,0.98
Draba lanceolata,32,,0.65
Draba lonchocarpa,16,2,0.31
Draba nemorosa,16,,0.24
Draba nivalis,16,2,0.32
Draba palanderiana,16,2,0.28
Draba subcapitata,16,2,0.25
Draba verna,,,0.4
Dracaena draco,40,4,0.93
Dracunculus canariensis,,,3.89
Dracunculus vulgaris,32,2,6.83
Drimiopsis maculata,,,3.75
Drimys vickeriana,,,1.13
Drosera binata,32,3,0.63
Drosera capensis,40,4,0.3
Drosera intermedia,20,2,0.95
Drosera linearis,20,2,0.93
Drosera rotundifolia,20,2,0.88
Drosera spathulata,80,8,0.75
Drosophyllum lusitanicum,12,2,15
Dryas octopetala,18,2,0.58
Drypetes roxburghii,42,,1.02
Duchesnea indica,14,,1.5
Dunbaria ferruginea,22,2,1.18
Dyckia estevesii,,,0.8
Dyckia floribunda,,,0.79
Dypsis beentjei,32,2,2.93
Dypsis cabadae,32,2,2.5
Dypsis catatiana,32,2,2.73
Dypsis louvelii,32,2,2.9
Dypsis lutescens,,,1.53
Dypsis mananjarensis,,,2.48
Dypsis mcdonaldiana,32,2,2.65
Dypsis pilulifera,32,2,2.55
Dypsis pinnatifrons,32,2,2.73
Dypsis scottiana,,,2.48
Ecdeiocolea monostachya,,,0.99
Echinochloa colonum,,,1.35
Echinochloa crus-galli,,,1.35
Echinochloa frumentacea,,,1.33
Echinodorus floribundus,,,13.15
Echinodorus macrophyllus,22,2,13.13
Echinodorus martii,22,2,14.65
Echinodorus osiris,,,14.25
Echinodorus paniculatus,22,2,13.7
Echinodorus peruense,,,10.95
Echinopogon ovatus,42,6,5.43
Echinops bannaticus,30,2,3.54
Echinops bithynicus,28,2,3.31
Echinops cornigerus,28,2,3.06
Echinops ecbatanus,30,2,2.69
Echinops exaltatus,30,2,3.75
Echinops hedgei,30,2,4.59
Echinops humilis,30,2,4.31
Echinops nanus,28,2,1.93
Echinops niveus,28,2,3.59
Echinops orientalis,,2,3.84
Echinops persicus,,2,3.58
Echinops ruthenicus,30,2,3.77
Echinops saissanicus,32,2,4.7
Echinops siculus,30,2,4.15
Echinops sphaerocephalus,30,2,3.86
Echinops spinosissimus,28,2,3.71
Echinops strigosus,32,2,1.25
Echinops szowitsii,30,2,3.69
Echinops talassicus,28,2,5.15
Echinops tournefortii,30,2,3.68
Echinops tschimganicus,32,2,2.58
Echinops viscosus,28,2,3.48
Echium aculeatum,,2,0.51
Echium bethencourtii,16,2,0.5
Echium bonnetii,16,2,0.32
Echium brevirame,,2,0.49
Echium decaisnei,16,2,0.45
Echium gentianoides,16,2,0.47
Echium hierrense,16,2,0.51
Echium leucophaeum,16,2,0.49
Echium simplex,16,2,0.47
Echium strictum,,2,0.42
Echium triste,,2,0.49
Echium virescens,,2,0.46
Echium webbii,16,2,0.49
Eclipta prostrata,22,2,1.55
Ehretia laevis,,,3.61
Eichhornia crassipes,32,4,0.98
Einadia nutans,,,1.01
Elaeis guineensis,32,2,1.88
Eleocharis acicularis,20,,0.25
Eleocharis palustris,16,2,5.53
Eleusine africana,36,4,2.55
Eleusine coracana,40,4,1.63
Eleusine floccifolia,18,2,1.63
Eleusine floccifolia,36,4,3.08
Eleusine indica,20,2,0.73
Eleusine intermedia,18,2,1.68
Eleusine jaegeri,20,2,1.68
Eleusine kigeziensis,38,4,2.98
Eleusine multiflora,16,2,1.3
Eleusine tristachya,18,2,1.45
Eleusine verticillata,18,2,1.25
Elodea canadensis,48,,4.18
Elymus abolinii,28,4,9.35
Elymus alatavicus,42,6,15.15
Elymus apricus,42,6,14.1
Elymus arenarius,,,21.25
Elymus canadensis,28,4,10.8
Elymus caninus,28,4,8.55
Elymus ciliaris,28,4,8.68
Elymus dahuricus,42,6,13.23
Elymus enysii,28,4,10.27
Elymus falcis,42,6,13.79
Elymus farctus,,,2.93
Elymus glaucus,28,4,9.3
Elymus junceus,,,13.25
Elymus lanceolatus,28,4,8.43
Elymus multiflorus,42,6,12.58
Elymus mutabilis,28,4,8.7
Elymus repens,42,6,12.98
Elymus sacandros,42,6,13.87
Elymus sibiricus,,,8.3
Elymus solandri,42,6,14.28
Elymus tenuis,56,8,16.05
Elymus trachycaulus,28,4,9.58
Elytrigia intermedia,42,6,13.52
Elytrigia intermedia,63,9,20.28
Elytrigia repens,42,6,11.64
Elytrigia repens,63,9,17.46
Emblica officinalis,98,,1.48
Empetrum hermaphroditum,52,4,1.28
Empetrum nigrum,26,2,0.65
Encalypta streptocarpa,,,0.45
Encephalartos villosus,18,2,21.1
Encholirium irwinii,,,0.87
Endymion non-scriptus,16,2,21.2
Ensete gilletii,18,2,0.61
Enteropogon acicularis,,,0.54
Entodon seductrix,,,0.39
Ephedra americana,28,4,17.49
Ephedra americana,28,4,18.22
Ephedra distachya,28,4,18.21
Ephedra fragilis,28,4,17.01
Ephedra gerardiana,28,4,15.94
Ephedra likiangensis,28,4,15.17
Ephedra monosperma,28,4,16.04
Ephedra tweediana,14,2,8.9
Ephedra viridis,28,4,15.98
Epidendrum steinbachii,,,1.45
Epilobium ciliatum,36,2,0.53
Epilobium hirsutum,36,2,0.3
Epilobium obscurum,36,2,0.25
Epilobium palustre,36,2,0.15
Epilobium tetragonum,36,2,0.58
Eragrostis tef,40,4,0.68
Eranthis cilicica,,,8.9
Eranthis hyemalis,16,2,9.3
Eranthis pinnatifida,,,8.2
Erechtites valerianaefolia,40,4,6.25
Eremochloa ophiuroides,18,2,0.83
Eremopyron triticeum,14,2,5.5
Erianthus arundinaceus,60,6,3.63
Erigeron calderae,18,2,1.55
Eriobotrya japonica,34,2,0.78
Eriocaulon aquaticum,32,4,4.19
Eriophorum angustifolium,58,2,0.65
Eriophorum vaginatum,,,0.38
Eruca sativa,22,2,0.58
Erycina diaphana,56,,1.93
Erycina pusilla,,,1.5
Eryngium coeruleum,16,2,0.7
Eryngium giganteum,16,2,2.8
Eryngium variifolium,16,2,1.45
Erysimum bicolor,28,4,0.58
Erysimum bicolor,42,6,0.76
Erysimum cheiranthoides,,,0.83
Erysimum scoparium,28,4,0.54
Erythrina blakei,42,2,1.34
Erythrina caffra,42,2,1.76
Erythrina corallodendron,42,2,1.31
Erythrina fusca,42,2,1.13
Erythrina humeana,,,1.41
Erythrina lithosperma,42,2,1.48
Erythrina lysistemon,42,2,1.42
Erythrina resupinata,42,2,1.77
Erythrina stricta,42,2,1.01
Erythrina suberosa,42,2,1.55
Erythrina variegata,42,2,1.71
Erythrina velutina,42,2,1.23
Erythrina vespertilio,42,2,1.12
Erythronium californicum,,,33.65
Erythronium dens-canis,,,29.9
Erythronium hybrid,,,35.7
Erythronium hybrid,,,36.75
Erythronium japonicum,,,31.75
Erytrochiton brasiliensis,116,,4.98
Escallonia langleyensis,,,6.15
Escallonia rubra,24,2,0.42
Eschscholzia californica,12,2,1.13
Escobaria bella,22,2,1.53
Eucalyptus camaldulensis,22,2,0.62
